id,fact,source
1,"The Government of India launched the PM-KISAN scheme in February 2019 providing Rs 6000 per year to small and marginal farmers.","PIB India"
2,"India's Chandrayaan-3 successfully landed on the Moon's south pole on August 23, 2023.","ISRO"
3,"The Ayushman Bharat health insurance scheme covers up to Rs 5 lakh per family per year for secondary and tertiary care hospitalization.","Ministry of Health"
4,"India became the fifth largest economy in the world in 2022, surpassing the United Kingdom.","IMF"
5,"The Government of India announced free COVID-19 vaccination for all adults starting June 21, 2021.","PIB India"
6,"PM Ujjwala Yojana provides free LPG connections to women from Below Poverty Line families.","Ministry of Petroleum"
7,"The Pradhan Mantri Awas Yojana aims to provide housing for all urban poor by 2022, extended to 2024.","Ministry of Housing"
8,"Digital India programme was launched on July 1, 2015 to transform India into a digitally empowered society.","PIB India"
9,"Make in India initiative was launched in September 2014 to encourage manufacturing in India.","PIB India"
10,"The Goods and Services Tax (GST) was implemented in India on July 1, 2017.","Ministry of Finance"
11,"Swachh Bharat Mission was launched on October 2, 2014 to eliminate open defecation and improve solid waste management.","PIB India"
12,"India's population reached 1.4 billion in 2023, making it the world's most populous country.","UN"
13,"The National Education Policy 2020 replaced the 34-year-old National Policy on Education.","Ministry of Education"
14,"Unified Payments Interface (UPI) processed over 10 billion transactions in August 2023.","NPCI"
15,"The Indian Railways operates the fourth largest railway network in the world.","Ministry of Railways"
16,"Aadhaar enrollment in India has crossed 1.3 billion as of 2023.","UIDAI"
17,"The Jal Jeevan Mission aims to provide tap water connection to all rural households by 2024.","Ministry of Jal Shakti"
18,"India's forex reserves stood at approximately $600 billion as of 2023.","RBI"
19,"The Startup India initiative has recognized over 100,000 startups as of 2023.","DPIIT"
20,"e-Shram portal has registered over 290 million unorganized workers as of 2023.","Ministry of Labour"
21,"National Pension System (NPS) was made available to all Indian citizens from May 1, 2009.","PFRDA"
22,"The Jan Dhan Yojana has opened over 500 million bank accounts since its launch in 2014.","Ministry of Finance"
23,"India achieved 100% village electrification in April 2018 under the Saubhagya scheme.","Ministry of Power"
24,"Bharat Stage VI emission norms came into effect from April 1, 2020.","Ministry of Road Transport"
25,"India's renewable energy capacity reached over 175 GW as of 2023.","Ministry of New and Renewable Energy"
26,"Atal Innovation Mission has established over 10,000 Atal Tinkering Labs in schools.","NITI Aayog"
27,"PM Mudra Yojana has sanctioned loans worth over Rs 23 lakh crore since 2015.","Ministry of Finance"
28,"India hosted the G20 Summit in New Delhi in September 2023.","MEA India"
29,"The Production Linked Incentive (PLI) scheme covers 14 sectors with an outlay of Rs 1.97 lakh crore.","Ministry of Commerce"
30,"Har Ghar Tiranga campaign was launched as part of Azadi Ka Amrit Mahotsav celebrations.","Ministry of Culture"
31,"There is no government scheme announced to provide free electricity to all farmers in India as of 2024.","PIB India"
32,"State-specific electricity subsidies exist but there is no national free electricity scheme for farmers.","Ministry of Power"
33,"PM-KUSUM scheme provides subsidized solar panels for farmers, not free electricity.","MNRE"
34,"Electricity subsidies for farmers vary by state with some states offering partial subsidies.","Ministry of Agriculture"
35,"The Agriculture Infrastructure Fund provides Rs 1 lakh crore for farm infrastructure development.","Ministry of Agriculture"
36,"PM Fasal Bima Yojana provides crop insurance to farmers with government premium subsidy.","Ministry of Agriculture"
37,"Soil Health Card scheme was launched in 2015 to provide soil testing and recommendations to farmers.","Ministry of Agriculture"
38,"India successfully tested Agni-5 missile with MIRV technology in March 2024.","DRDO"
39,"Vande Bharat Express trains have been introduced on multiple routes since 2019.","Ministry of Railways"
40,"The National Logistics Policy was launched in September 2022 to reduce logistics costs.","Ministry of Commerce"
41,"INS Vikrant, India's first indigenous aircraft carrier, was commissioned in September 2022.","Indian Navy"
42,"Tejas LCA Mk1A fighter jets are under production for the Indian Air Force.","HAL"
43,"ISRO launched Aditya-L1, India's first solar observation mission, in September 2023.","ISRO"
44,"The Semiconductor Mission has an outlay of Rs 76,000 crore to boost chip manufacturing.","Ministry of Electronics"
45,"National Green Hydrogen Mission was approved with an outlay of Rs 19,744 crore.","Cabinet"
46,"India's services sector contributes over 50% to the national GDP.","Ministry of Statistics"
47,"BharatNet project aims to connect all 6 lakh villages with optical fiber.","Ministry of Communications"
48,"The Amrit Bharat Station Scheme aims to modernize over 1,000 railway stations.","Ministry of Railways"
49,"National Single Window System was launched for business approvals and clearances.","DPIIT"
50,"India's tiger population increased to over 3,000 as per the 2022 census.","Ministry of Environment"
